team,Max
Greenoaks Dundee,2008.0
Fantlet-2,1900.0
Fantlet-7,1900.0
Maid of Lebanon,1960.0
Danaldo,1960.0
Lyn-2,1920.0
Sunrise,2008.0
Falcon IV,1956.0
Potsdam,1936.0
Giselle-6,1900.0
United States-13,1904.0
China-3,2010.0
Ardilla,1960.0
Greece-4,1906.0
Windor,1932.0
Vim III,1960.0
Lasha,1960.0
Hilarius,1948.0
Hakahana,1960.0
Glider,1964.0
Jamaica-1,1992.0
Squid III,1964.0
Singapore-1,2004.0
Mamie-4,1900.0
C.V.A.-14,1900.0
Singy-37,1900.0
C.V.A.-7,1900.0
Mamie-6,1900.0
Singy-7,1900.0
Hamburg,1936.0
Mac Miche,1912.0
Camille,1908.0
Serbia-1,2012.0
Cuxhaven,1936.0
Formosa,1900.0
Danzig,1936.0
Salinero,2008.0
Sjovinge,1960.0
Brandenburg,1936.0
Hungary-3,1912.0
Freia-19,1900.0
Freia-5,1900.0
Luxembourg-1,1936.0
Satchmo,2008.0
Sea Dog-2,1908.0
Mainz,1936.0
Solos Carex,2008.0
Dow Jones,2008.0
Digby,2008.0
